product_name,current_price,previous_unit_price,percentage_increase
Genen Shouyu,13,15.5,-16.13
Alice Mutton,39,39,0
Aniseed Syrup,10,10,0
Boston Crab Meat,18.4,18.4,0
Camembert Pierrot,34,34,0
Carnarvon Tigers,62.5,62.5,0
Chai,18,18,0
Chang,19,19,0
Chartreuse verte,18,18,0
Chef Anton's Cajun Seasoning,22,22,0
Chef Anton's Gumbo Mix,21.35,21.35,0
Chocolade,12.75,12.75,0
C?te de Blaye,263.5,263.5,0
Escargots de Bourgogne,13.25,13.25,0
Filo Mix,7,7,0
Flotemysost,21.5,21.5,0
Geitost,2.5,2.5,0
Gnocchi di nonna Alice,38,38,0
Gorgonzola Telino,12.5,12.5,0
Grandma's Boysenberry Spread,25,25,0
Gravad lax,26,26,0
Guaran¨¢ Fant¨¢stica,4.5,4.5,0
Gudbrandsdalsost,36,36,0
Gula Malacca,19.45,19.45,0
Gumb?r Gummib?rchen,31.23,31.23,0
Gustaf's Kn?ckebr?d,21,21,0
Ikura,31,31,0
Inlagd Sill,19,19,0
Ipoh Coffee,46,46,0
Jack's New England Clam Chowder,9.65,9.65,0
Konbu,6,6,0
Lakkalik??ri,18,18,0
Laughing Lumberjack Lager,14,14,0
Longlife Tofu,10,10,0
Louisiana Fiery Hot Pepper Sauce,21.05,21.05,0
Louisiana Hot Spiced Okra,17,17,0
Manjimup Dried Apples,53,53,0
Mascarpone Fabioli,32,32,0
Maxilaku,20,20,0
Mishi Kobe Niku,97,97,0
Mozzarella di Giovanni,34.8,34.8,0
Nord-Ost Matjeshering,25.89,25.89,0
Northwoods Cranberry Sauce,40,40,0
NuNuCa Nu?-Nougat-Creme,14,14,0
Original Frankfurter gr¨¹ne So?e,13,13,0
Outback Lager,15,15,0
P?t¨¦ chinois,24,24,0
Pavlova,17.45,17.45,0
Perth Pasties,32.8,32.8,0
Queso Cabrales,21,21,0
Queso Manchego La Pastora,38,38,0
Raclette Courdavault,55,55,0
Ravioli Angelo,19.5,19.5,0
Rh?nbr?u Klosterbier,7.75,7.75,0
R?d Kaviar,15,15,0
Rogede sild,9.5,9.5,0
R?ssle Sauerkraut,45.6,45.6,0
Sasquatch Ale,14,14,0
Schoggi Schokolade,43.9,43.9,0
Scottish Longbreads,12.5,12.5,0
Singaporean Hokkien Fried Mee,14,14,0
Sir Rodney's Marmalade,81,81,0
Sir Rodney's Scones,10,10,0
Sirop d'¨¦rable,28.5,28.5,0
Spegesild,12,12,0
Steeleye Stout,18,18,0
Tarte au sucre,49.3,49.3,0
Teatime Chocolate Biscuits,9.2,9.2,0
Th¨¹ringer Rostbratwurst,123.79,123.79,0
Tofu,23.25,23.25,0
Tourti¨¨re,7.45,7.45,0
Tunnbr?d,9,9,0
Uncle Bob's Organic Dried Pears,30,30,0
Valkoinen suklaa,16.25,16.25,0
Vegie-spread,43.9,43.9,0
Wimmers gute Semmelkn?del,33.25,33.25,0
Zaanse koeken,9.5,9.5,0
Genen Shouyu,13,12.4,4.84
Alice Mutton,39,31.2,25
Aniseed Syrup,10,8,25
Camembert Pierrot,34,27.2,25
Carnarvon Tigers,62.5,50,25
Chai,18,14.4,25
Chang,19,15.2,25
Chartreuse verte,18,14.4,25
Chef Anton's Cajun Seasoning,22,17.6,25
Chocolade,12.75,10.2,25
C?te de Blaye,263.5,210.8,25
Escargots de Bourgogne,13.25,10.6,25
Filo Mix,7,5.6,25
Flotemysost,21.5,17.2,25
Geitost,2.5,2,25
Gnocchi di nonna Alice,38,30.4,25
Gorgonzola Telino,12.5,10,25
Grandma's Boysenberry Spread,25,20,25
Gravad lax,26,20.8,25
Guaran¨¢ Fant¨¢stica,4.5,3.6,25
Gudbrandsdalsost,36,28.8,25
Gustaf's Kn?ckebr?d,21,16.8,25
Ikura,31,24.8,25
Inlagd Sill,19,15.2,25
Ipoh Coffee,46,36.8,25
Konbu,6,4.8,25
Lakkalik??ri,18,14.4,25
Laughing Lumberjack Lager,14,11.2,25
Longlife Tofu,10,8,25
Louisiana Hot Spiced Okra,17,13.6,25
Manjimup Dried Apples,53,42.4,25
Mascarpone Fabioli,32,25.6,25
Maxilaku,20,16,25
Mishi Kobe Niku,97,77.6,25
Northwoods Cranberry Sauce,40,32,25
NuNuCa Nu?-Nougat-Creme,14,11.2,25
Original Frankfurter gr¨¹ne So?e,13,10.4,25
Outback Lager,15,12,25
P?t¨¦ chinois,24,19.2,25
Queso Cabrales,21,16.8,25
Queso Manchego La Pastora,38,30.4,25
Raclette Courdavault,55,44,25
Ravioli Angelo,19.5,15.6,25
Rh?nbr?u Klosterbier,7.75,6.2,25
R?d Kaviar,15,12,25
Rogede sild,9.5,7.6,25
Sasquatch Ale,14,11.2,25
Scottish Longbreads,12.5,10,25
Singaporean Hokkien Fried Mee,14,11.2,25
Sir Rodney's Marmalade,81,64.8,25
Sir Rodney's Scones,10,8,25
Sirop d'¨¦rable,28.5,22.8,25
Spegesild,12,9.6,25
Steeleye Stout,18,14.4,25
Tofu,23.25,18.6,25
Tunnbr?d,9,7.2,25
Uncle Bob's Organic Dried Pears,30,24,25
Valkoinen suklaa,16.25,13,25
Wimmers gute Semmelkn?del,33.25,26.6,25
Zaanse koeken,9.5,7.6,25
Th¨¹ringer Rostbratwurst,123.79,99,25.04
Nord-Ost Matjeshering,25.89,20.7,25.07
Schoggi Schokolade,43.9,35.1,25.07
Vegie-spread,43.9,35.1,25.07
Tarte au sucre,49.3,39.4,25.13
Boston Crab Meat,18.4,14.7,25.17
Mozzarella di Giovanni,34.8,27.8,25.18
Perth Pasties,32.8,26.2,25.19
R?ssle Sauerkraut,45.6,36.4,25.27
Louisiana Fiery Hot Pepper Sauce,21.05,16.8,25.3
Jack's New England Clam Chowder,9.65,7.7,25.32
Gumb?r Gummib?rchen,31.23,24.9,25.42
Gula Malacca,19.45,15.5,25.48
Pavlova,17.45,13.9,25.54
Chef Anton's Gumbo Mix,21.35,17,25.59
Teatime Chocolate Biscuits,9.2,7.3,26.03
Tourti¨¨re,7.45,5.9,26.27
Singaporean Hokkien Fried Mee,14,9.8,42.86
Queso Cabrales,21,14,50
