category_name,product_name,unit_price,average_unit_price,median_unit_price,average_unit_price_position,median_unit_price_position
Beverages,Chartreuse verte,18,37.98,18,Below Average,Equal Median
Beverages,C?te de Blaye,263.5,37.98,18,Over Average,Over Median
Beverages,Ipoh Coffee,46,37.98,18,Over Average,Over Median
Beverages,Lakkalik??ri,18,37.98,18,Below Average,Equal Median
Beverages,Laughing Lumberjack Lager,14,37.98,18,Below Average,Below Median
Beverages,Outback Lager,15,37.98,18,Below Average,Below Median
Beverages,Rh?nbr?u Klosterbier,7.75,37.98,18,Below Average,Below Median
Beverages,Sasquatch Ale,14,37.98,18,Below Average,Below Median
Beverages,Steeleye Stout,18,37.98,18,Below Average,Equal Median
Condiments,Aniseed Syrup,10,22.85,21.05,Below Average,Below Median
Condiments,Chef Anton's Cajun Seasoning,22,22.85,21.05,Below Average,Over Median
Condiments,Genen Shouyu,13,22.85,21.05,Below Average,Below Median
Condiments,Grandma's Boysenberry Spread,25,22.85,21.05,Over Average,Over Median
Condiments,Gula Malacca,19.45,22.85,21.05,Below Average,Below Median
Condiments,Louisiana Fiery Hot Pepper Sauce,21.05,22.85,21.05,Below Average,Below Median
Condiments,Louisiana Hot Spiced Okra,17,22.85,21.05,Below Average,Below Median
Condiments,Northwoods Cranberry Sauce,40,22.85,21.05,Over Average,Over Median
Condiments,Original Frankfurter gr¨¹ne So?e,13,22.85,21.05,Below Average,Below Median
Condiments,Sirop d'¨¦rable,28.5,22.85,21.05,Over Average,Over Median
Condiments,Vegie-spread,43.9,22.85,21.05,Over Average,Over Median
Confections,Chocolade,12.75,25.16,16.25,Below Average,Below Median
Confections,Gumb?r Gummib?rchen,31.23,25.16,16.25,Over Average,Over Median
Confections,Maxilaku,20,25.16,16.25,Below Average,Over Median
Confections,NuNuCa Nu?-Nougat-Creme,14,25.16,16.25,Below Average,Below Median
Confections,Pavlova,17.45,25.16,16.25,Below Average,Over Median
Confections,Schoggi Schokolade,43.9,25.16,16.25,Over Average,Over Median
Confections,Scottish Longbreads,12.5,25.16,16.25,Below Average,Below Median
Confections,Sir Rodney's Marmalade,81,25.16,16.25,Over Average,Over Median
Confections,Sir Rodney's Scones,10,25.16,16.25,Below Average,Below Median
Confections,Tarte au sucre,49.3,25.16,16.25,Over Average,Over Median
Confections,Teatime Chocolate Biscuits,9.2,25.16,16.25,Below Average,Below Median
Confections,Valkoinen suklaa,16.25,25.16,16.25,Below Average,Equal Median
Confections,Zaanse koeken,9.5,25.16,16.25,Below Average,Below Median
Dairy Products,Camembert Pierrot,34,28.73,32,Over Average,Over Median
Dairy Products,Flotemysost,21.5,28.73,32,Below Average,Below Median
Dairy Products,Geitost,2.5,28.73,32,Below Average,Below Median
Dairy Products,Gorgonzola Telino,12.5,28.73,32,Below Average,Below Median
Dairy Products,Gudbrandsdalsost,36,28.73,32,Over Average,Over Median
Dairy Products,Mascarpone Fabioli,32,28.73,32,Over Average,Equal Median
Dairy Products,Mozzarella di Giovanni,34.8,28.73,32,Over Average,Over Median
Dairy Products,Queso Cabrales,21,28.73,32,Below Average,Below Median
Dairy Products,Queso Manchego La Pastora,38,28.73,32,Over Average,Over Median
Dairy Products,Raclette Courdavault,55,28.73,32,Over Average,Over Median
Grains/Cereals,Filo Mix,7,20.25,19.5,Below Average,Below Median
Grains/Cereals,Gnocchi di nonna Alice,38,20.25,19.5,Over Average,Over Median
Grains/Cereals,Gustaf's Kn?ckebr?d,21,20.25,19.5,Over Average,Over Median
Grains/Cereals,Ravioli Angelo,19.5,20.25,19.5,Below Average,Equal Median
Grains/Cereals,Tunnbr?d,9,20.25,19.5,Below Average,Below Median
Grains/Cereals,Wimmers gute Semmelkn?del,33.25,20.25,19.5,Over Average,Over Median
Meat/Poultry,P?t¨¦ chinois,24,54.01,32.8,Below Average,Below Median
Meat/Poultry,Tourti¨¨re,7.45,54.01,32.8,Below Average,Below Median
Produce,Longlife Tofu,10,32.37,30,Below Average,Below Median
Produce,Manjimup Dried Apples,53,32.37,30,Over Average,Over Median
Produce,Tofu,23.25,32.37,30,Below Average,Below Median
Produce,Uncle Bob's Organic Dried Pears,30,32.37,30,Below Average,Equal Median
Seafood,Boston Crab Meat,18.4,20.68,15,Below Average,Over Median
Seafood,Carnarvon Tigers,62.5,20.68,15,Over Average,Over Median
Seafood,Escargots de Bourgogne,13.25,20.68,15,Below Average,Below Median
Seafood,Gravad lax,26,20.68,15,Over Average,Over Median
Seafood,Ikura,31,20.68,15,Over Average,Over Median
Seafood,Inlagd Sill,19,20.68,15,Below Average,Over Median
Seafood,Jack's New England Clam Chowder,9.65,20.68,15,Below Average,Below Median
Seafood,Konbu,6,20.68,15,Below Average,Below Median
Seafood,Nord-Ost Matjeshering,25.89,20.68,15,Over Average,Over Median
Seafood,R?d Kaviar,15,20.68,15,Below Average,Equal Median
Seafood,Rogede sild,9.5,20.68,15,Below Average,Below Median
Seafood,Spegesild,12,20.68,15,Below Average,Below Median
