"ord_id","prod_id","qty"
1,ca01,1
1,ca03,1
1,dc01,1
2,ac01,1
3,ba01,1
4,ca13,1
5,ba05,1
5,cb03,1
5,cd02,1
6,ab34,1
7,ac02,1
7,cb01,1
8,cd01,1
8,dc01,1
9,ca04,1
10,aa08,1
11,cc02,1
12,ca12,1
13,ca11,1
14,ca03,1
14,cb01,1
14,cc01,1
14,cd01,1
15,cd01,1
16,ac20,1
17,ca13,1
18,ac17,1
18,ca10,1
18,ca12,1
18,da02,1
19,ca09,1
20,ca12,1
20,cb01,1
20,cb03,2
21,ab38,1
21,ca12,1
22,db01,1
23,cb06,1
24,ca12,1
24,cb02,1
25,cb02,1
26,ca01,1
27,ca06,1
28,dc01,1
29,ca06,1
30,ca03,1
31,cc01,1
32,cc01,1
33,bd01,1
34,dc01,1
35,ca09,1
36,ca01,1
37,bc01,1
38,ca05,1
39,cc01,1
40,cc01,1
41,cb06,1
42,ca11,1
43,ca03,1
44,ad17,1
44,bd01,1
45,ab01,1
45,ca13,1
46,ae01,1
46,ca10,1
46,cb05,1
47,cc01,1
48,ca13,1
49,cd02,1
50,cb04,1
51,ca06,1
51,cc01,1
52,cb04,1
53,cc01,1
53,dc01,1
54,da01,1
55,ca02,1
56,ca12,1
56,da03,1
57,bd02,1
57,ca09,1
58,ca07,1
59,ca07,1
60,cb03,1
61,cd01,1
62,bd01,1
62,ca08,1
62,cd01,1
63,ca11,1
64,cb03,1
65,ca09,1
66,cc02,1
67,cb01,1
68,ca12,1
69,bc01,1
69,ca09,1
69,cb04,1
70,ab45,1
71,da01,1
72,cc02,1
73,cd02,1
74,cd02,1
75,ca12,1
75,cb05,1
76,bd02,1
77,ba06,1
78,cb02,1
79,ca12,1
80,ca02,1
81,ca10,1
82,aa01,1
83,cd02,1
84,da05,1
85,cc02,1
86,cb03,1
87,cc02,1
88,ba05,1
89,ad05,1
90,ab20,1
91,cb02,1
92,db01,1
93,ca03,1
94,cb06,1
95,ca02,1
96,da01,1
97,dc02,1
98,aa06,1
99,cc01,1
100,ca01,1
101,ba09,1
102,cb05,1
103,bd01,1
104,bb02,1
104,cb04,1
105,ac01,1
106,ca06,1
107,dc01,1
108,dc01,1
109,ca14,1
110,ca12,1
111,cb06,1
111,cc01,1
112,ca01,1
113,ca10,1
114,cb01,1
115,cc01,1
116,bd01,1
117,ba02,1
117,cb06,1
117,cd01,2
118,ba08,1
119,ca14,1
119,cc02,1
120,cb04,1
121,da01,1
122,ca05,1
123,ca10,2
123,cd01,1
124,ac25,1
125,cb02,1
126,ca01,1
127,ab31,1
127,bb02,1
127,da02,1
128,cb05,1
129,bc01,1
130,ca09,1
130,db02,1
131,cc02,1
132,da02,1
133,cc01,1
133,db01,1
133,db02,1
134,ca02,1
134,cb03,1
135,ca14,1
136,ca13,1
136,cb02,2
137,cd01,1
138,cd02,1
139,ac20,1
139,cb01,1
139,cc02,1
140,cd02,1
141,ca06,1
141,cb01,1
141,cc02,1
142,cc01,1
143,bb01,1
144,ca07,1
145,cd02,1
146,ca13,1
147,cd01,1
148,ca12,1
148,cb06,1
149,ba03,1
150,cb04,1
151,cb03,1
151,cd02,1
152,cd01,1
153,cb04,1
154,bb02,1
154,ca05,1
154,ca11,1
154,cb02,1
155,bc02,1
155,ca01,1
155,ca04,1
155,db02,1
156,cd01,1
157,ba09,1
157,ca06,1
157,cb03,1
157,cb04,1
158,ca13,1
159,ae01,1
159,ca06,2
160,cd02,1
161,cb03,1
162,ca05,1
163,da01,1
164,ca02,1
165,cb05,1
166,ca05,1
167,bb01,1
168,cc02,1
169,cb06,1
169,cc02,1
170,ca05,1
171,ca04,1
172,ca13,1
173,cd02,1
174,cb06,1
175,db01,1
176,cd02,1
177,cc01,1
178,db02,1
179,cc01,1
180,da02,1
181,cd02,1
182,ca13,1
183,ca09,1
184,ca02,1
185,ca09,1
186,cd02,1
187,cb01,1
188,cb01,1
189,bd02,1
190,cd02,1
191,cb02,1
192,cc01,1
193,cd02,1
194,ca01,1
195,ca13,1
196,bc01,1
196,ca08,1
197,cd01,1
198,ca07,1
199,cc01,1
199,db01,1
200,cb05,1
201,cc02,1
202,cb04,1
203,ab19,1
204,cb02,1
205,ac05,1
206,cb06,1
207,ba01,1
207,bc01,1
207,cb04,1
208,bc01,1
208,bd01,1
208,da05,1
209,da01,1
210,ae06,1
211,cd02,1
212,cc02,1
213,ca12,1
213,ca14,1
213,cb06,1
214,cb03,1
215,cb05,1
216,cb04,1
217,ca14,1
217,cb06,1
218,ca09,1
219,cb05,1
220,ca04,1
220,ca09,1
221,ab05,1
222,ab05,1
223,ae03,1
224,cb04,1
224,cb06,1
225,cd02,1
226,cb03,1
227,bd02,1
228,cc01,1
229,ca09,1
230,cc01,1
231,ca02,1
231,ca12,1
232,cc01,1
233,cb05,1
234,ac20,1
234,ca08,1
234,ca11,1
235,cb01,1
236,ca11,1
236,ca14,1
237,bb02,1
237,ca12,1
237,cb04,1
237,cc01,1
238,cb04,1
239,da04,1
240,ac14,1
240,ca13,1
241,ae06,1
242,bc01,1
243,cc01,1
244,ca01,1
245,cc02,1
246,ac13,1
247,ca12,1
248,ca01,1
249,ca10,1
250,ba09,1
251,ac23,1
252,cd02,1
253,ab18,1
253,cb02,1
254,cc02,1
255,db02,1
256,cb05,1
257,cd01,1
258,ab18,1
258,ad23,1
259,ac07,1
260,ac14,1
261,ca09,1
261,ca10,1
262,ca02,1
263,ca12,1
264,cb04,1
265,cd02,1
266,bd02,1
267,ca01,1
268,bc02,1
269,cc01,1
270,cb04,1
271,ca12,1
272,bd02,1
272,ca11,1
272,cd01,1
273,ab05,1
273,ba03,1
273,bc02,1
274,bc02,1
275,ae06,1
276,ca02,1
276,ca13,1
276,cc01,1
277,bb02,1
278,cb06,1
279,cb02,1
280,bc02,1
280,ca13,1
281,cb04,1
282,ca02,1
283,ca02,1
284,cb04,1
