"ord_id","ord_dt","cust_id","store_id","genius_id"
1,2021-01-01,26166,R228,
2,2021-01-01,18948,R202,
3,2021-10-01,26215,R000,
4,2021-11-01,46141,R240,
5,2021-01-01,28990,R339,
6,2021-01-01,29448,R108,
7,2021-01-01,3293,R000,
8,2021-01-01,42187,R205,
9,2021-01-01,15321,R824,
10,2021-01-01,47083,R007,
11,2021-01-01,2745,R050,
12,2021-01-01,10513,R016,
13,2021-12-01,23886,R284,
14,2021-01-01,6054,R287,
15,2021-01-01,20682,R082,
16,2021-01-01,20732,R000,
17,2021-01-01,32509,R010,rl3243
18,2021-01-01,11369,R284,
19,2021-01-01,29688,R259,
20,2021-01-01,24147,R010,
21,2021-01-01,5651,R229,
22,2021-01-01,23564,R000,
23,2021-01-01,35086,R086,
24,2021-10-01,123,R007,
25,2021-01-01,20878,R287,
26,2021-01-01,4148,R002,
27,2021-01-01,27816,R000,
28,2021-01-01,36690,R204,
29,2021-01-01,22717,R205,
30,2021-01-01,1569,R115,
31,2021-10-01,22723,R084,
32,2021-12-01,35779,R007,qz2456
33,2021-12-01,35933,R190,
34,2021-01-01,27180,R140,
35,2021-01-01,17480,R190,
36,2021-01-01,29871,R095,
37,2021-01-01,39112,R143,
38,2021-01-01,19289,R086,
39,2021-01-01,28461,R287,
40,2021-01-01,20623,R312,
41,2021-10-01,38270,R010,
42,2021-12-01,21643,R000,
43,2021-01-01,12441,R067,
44,2021-01-01,29192,R143,
45,2021-01-01,44019,R300,
46,2021-10-01,41610,R824,
47,2021-12-01,46333,R016,
48,2021-01-01,2969,R202,
49,2021-10-01,43689,R115,
50,2021-01-01,17350,R287,
51,2021-10-01,34894,R284,
52,2021-01-01,6504,R228,
53,2021-01-01,13885,R312,
54,2021-01-01,2921,R177,
55,2021-01-01,41510,R317,xy2521
56,2021-01-01,37245,R072,
57,2021-01-01,6657,R177,
58,2021-12-01,35459,R290,
59,2021-01-01,26264,R230,
60,2021-11-01,39281,R284,
61,2021-12-01,27775,R010,
62,2021-12-01,41593,R000,
63,2021-01-01,27985,R000,
64,2021-01-01,25866,R000,
65,2021-01-01,26620,R177,
66,2021-01-01,28073,R086,bz2413
67,2021-01-01,6377,R019,
68,2021-01-01,35073,R250,
69,2021-01-01,40399,R281,
70,2021-12-01,32472,R415,
71,2021-01-01,5496,R228,
72,2021-01-01,19538,R290,
73,2021-01-01,21503,R000,
74,2021-01-01,3656,R000,
75,2021-01-01,4050,R219,
76,2021-12-01,2892,R259,
77,2021-10-01,13110,R016,
78,2021-01-01,48535,R205,
79,2021-01-01,34482,R000,
80,2021-12-01,45919,R240,yz4222
81,2021-01-01,12975,R115,og2280
82,2021-11-01,14152,R029,
83,2021-01-01,14089,R082,
84,2021-01-01,39804,R065,
85,2021-01-01,8690,R000,
86,2021-01-01,18794,R000,
87,2021-01-01,5485,R190,
88,2021-01-01,33589,R095,
89,2021-01-01,37540,R190,
90,2021-01-01,31859,R084,
91,2021-01-01,24901,R000,
92,2021-10-01,47797,R205,
93,2021-01-01,23654,R010,
94,2021-12-01,38245,R007,
95,2021-01-01,47051,R229,dz2492
96,2021-01-01,39677,R205,
97,2021-11-01,2174,R007,
98,2021-01-01,25109,R290,
99,2021-12-01,34838,R065,
100,2021-12-01,39883,R219,
101,2021-01-01,48578,R219,
102,2021-01-01,14816,R000,
103,2021-12-01,31150,R001,sz3032
104,2021-01-01,1520,R202,
105,2021-01-01,20168,R142,dml2193
106,2021-01-01,25833,R115,
107,2021-01-01,48295,R312,zw2739
108,2021-01-01,4538,R250,cz2691
109,2021-01-01,35366,R072,
110,2021-01-01,48229,R019,
111,2021-01-01,15174,R086,
112,2021-01-01,28694,R019,
113,2021-01-01,40859,R002,
114,2021-01-01,28558,R142,
115,2021-01-01,48680,R229,dz2492
116,2021-01-01,38241,R010,
117,2021-10-01,26213,R204,
118,2021-12-02,14340,R284,
119,2021-01-02,3242,R287,
120,2021-01-02,47046,R084,
121,2021-01-02,9004,R218,
122,2021-01-02,40029,R019,mw3537
123,2021-11-02,39525,R002,
124,2021-01-02,43254,R287,
125,2021-01-02,32791,R010,
126,2021-01-02,24012,R050,
127,2021-01-02,14309,R019,
128,2021-01-02,44147,R824,
129,2021-01-02,38205,R019,
130,2021-01-02,7094,R010,
131,2021-11-02,28524,R019,
132,2021-12-02,6414,R019,mw3537
133,2021-01-02,49611,R415,
134,2021-12-02,1669,R177,
135,2021-01-02,46445,R290,
136,2021-12-02,34263,R019,
137,2021-01-02,24206,R415,
138,2021-10-02,21591,R284,
139,2021-01-02,24681,R259,
140,2021-01-02,24443,R000,
141,2021-01-02,12030,R086,
142,2021-11-02,31627,R281,xc2571
143,2021-01-02,39252,R177,
144,2021-01-02,42361,R287,
145,2021-01-02,33577,R284,
146,2021-01-02,31198,R029,
147,2021-10-02,35335,R084,
148,2021-01-02,9250,R082,
149,2021-01-02,33255,R415,ll3486
150,2021-01-02,27685,R050,
151,2021-01-02,48227,R218,
152,2021-12-02,17805,R259,
153,2021-12-02,38180,R000,
154,2021-11-02,39441,R190,
155,2021-01-02,12995,R050,
156,2021-01-02,9477,R072,
157,2021-01-02,2309,R000,
158,2021-01-02,47000,R284,
159,2021-12-02,15832,R108,
160,2021-01-02,17640,R219,
161,2021-01-02,39527,R084,
162,2021-01-02,16787,R000,
163,2021-01-02,12645,R152,
