"prod_id","prod_cat","prod_grp","disp_size","chip","hd_storage","memory","price"
aa01,Mac,MacBook Air,"13in",M1 8-Core,"256GB","8GB",899.00
aa02,Mac,MacBook Air,"13in",M1 8-Core,"512GB","8GB",1079.00
aa03,Mac,MacBook Air,"13in",M1 8-Core,"1TB","8GB",1259.00
aa04,Mac,MacBook Air,"13in",M1 8-Core,"2TB","8GB",1819.00
aa05,Mac,MacBook Air,"13in",M1 8-Core,"256GB","16GB",1079.00
aa06,Mac,MacBook Air,"13in",M1 8-Core,"512GB","16GB",1259.00
aa07,Mac,MacBook Air,"13in",M1 8-Core,"1TB","16GB",1439.00
aa08,Mac,MacBook Air,"13in",M1 8-Core,"2TB","16GB",1999.00
ab01,Mac,MacBook Pro,"13in",M1 8-Core,"256GB","8GB",1199.00
ab02,Mac,MacBook Pro,"13in",M1 8-Core,"512GB","8GB",1399.00
ab03,Mac,MacBook Pro,"13in",M1 8-Core,"1TB","8GB",1579.00
ab04,Mac,MacBook Pro,"13in",M1 8-Core,"2TB","8GB",1939.00
ab05,Mac,MacBook Pro,"13in",M1 8-Core,"256GB","16GB",1379.00
ab06,Mac,MacBook Pro,"13in",M1 8-Core,"512GB","16GB",1579.00
ab07,Mac,MacBook Pro,"13in",M1 8-Core,"1TB","16GB",1759.00
ab08,Mac,MacBook Pro,"13in",M1 8-Core,"2TB","16GB",2119.00
ab09,Mac,MacBook Pro,"14in",M1 Pro 8-Core,"512GB","16GB",1849.00
ab10,Mac,MacBook Pro,"14in",M1 Pro 8-Core,"1TB","16GB",2029.00
ab11,Mac,MacBook Pro,"14in",M1 Pro 8-Core,"2TB","16GB",2389.00
ab12,Mac,MacBook Pro,"14in",M1 Pro 8-Core,"4TB","16GB",2929.00
ab13,Mac,MacBook Pro,"14in",M1 Pro 8-Core,"8TB","16GB",4009.00
ab14,Mac,MacBook Pro,"14in",M1 Pro 8-Core,"512GB","32GB",2209.00
ab15,Mac,MacBook Pro,"14in",M1 Pro 8-Core,"1TB","32GB",2389.00
ab16,Mac,MacBook Pro,"14in",M1 Pro 8-Core,"2TB","32GB",2749.00
ab17,Mac,MacBook Pro,"14in",M1 Pro 8-Core,"4TB","32GB",3289.00
ab18,Mac,MacBook Pro,"14in",M1 Pro 8-Core,"8TB","32GB",4369.00
ab19,Mac,MacBook Pro,"14in",M1 Pro 10-Core,"512GB","16GB",2029.00
ab20,Mac,MacBook Pro,"14in",M1 Pro 10-Core,"1TB","16GB",2209.00
ab21,Mac,MacBook Pro,"14in",M1 Pro 10-Core,"2TB","16GB",2569.00
ab22,Mac,MacBook Pro,"14in",M1 Pro 10-Core,"4TB","16GB",3109.00
ab23,Mac,MacBook Pro,"14in",M1 Pro 10-Core,"8TB","16GB",4189.00
ab24,Mac,MacBook Pro,"14in",M1 Pro 10-Core,"512GB","32GB",2389.00
ab25,Mac,MacBook Pro,"14in",M1 Pro 10-Core,"1TB","32GB",2569.00
ab26,Mac,MacBook Pro,"14in",M1 Pro 10-Core,"2TB","32GB",2929.00
