"AntiVirus",1,"ETRAVE4732P87364","Unassigned","Unassigned","Threat Management","Distributed","Distributed","Security","Secure Content Management","Threat Management"
"HIPS",2,"CAHIP22999086521","Unassigned","Unassigned","Threat Management","Distributed","Distributed","Security","Secure Content Management","Threat Management"
"Jasmine",3,"JIIBAS992952I05836","JASMINE II","JASMINE II BASE","Unassigned","Distributed","Multi Platform","Data","Object-Oriented DBMS","Products - Dist & Testing Tools"
"Patch Management",4,"UNUNI153750UGS8259","Unassigned","Unassigned","Change Management","Distributed","Distributed","Network","Change And Configuration Management","Desktop & Server Management / Asset Management"
"Total Protection",5,"CAASBE58883NG0UGR8995","Unassigned","Unassigned","Unassigned","Distributed","Distributed","N/A","N/A","Small and Medium Business"
"Ingres",6,"IN4676R11GO1681","OPENINGRES OBJECT","OPENINGRES OBJECT MGT. RUNTIME","Unassigned","Distributed","OS/400","Data","Rdbms And Ordbms","Misc Products/Corporate"
"ARCserve Backup",7,"BABWFR59541101106211","Unassigned","Unassigned","Backup Management","Distributed","Distributed","Storage","Backup And Archive Software","Storage Recovery Management"
"ARCserve Backup",8,"BABWUR15358ING1003309","Unassigned","Unassigned","Backup Management","Distributed","Distributed","Storage","Backup And Archive Software","Storage Recovery Management"
"Ingres",9,"I106911ENGO5436","OPENINGRES ODBC","OPENINGRES ODBC DRIVER","Unassigned","Distributed","PC/DOS","Tools","Other Programmer Development Tools And Utilities","Misc Products/Corporate"
"ARCserve Backup for Laptops & Desktops",10,"BLAPDSK100113385R11E2788","Unassigned","Unassigned","Unassigned","Distributed","Unix","Storage","Backup And Archive Software","Storage Recovery Management"
"ARCserve Backup",11,"BABWBR4274RA00114956","Unassigned","Unassigned","Backup Management","Distributed","Distributed","Storage","Backup And Archive Software","Storage Recovery Management"
"Generol",12,"GOLGR2040TRAVA0024741","GENER/OL GRAPHICS","GENER/OL GRAPHICS OPTION","Unassigned","Mainframe","MVS","Development","Unified Development Environments","Products - MF Misc"
"AntiVirus",13,"ET2183EE0RAV79398","Unassigned","Unassigned","Unassigned","Distributed","Distributed","Security","Secure Content Management","Threat Management"
"ARCserve Backup",14,"CAXRWR400E66330E023059","Unassigned","Unassigned","Backup Management","Distributed","Distributed","Storage","Backup And Archive Software","Storage Recovery Management"
"Autosys",15,"ATSYSO5202788ABJ9419","AUTOSYS FOR","AUTOSYS FOR ORACLE","Automation","Distributed","Unix","Network","Job Scheduling","Workload Automation"
"ARCserve Backup",16,"BA1786UBW4235","Unassigned","Unassigned","Backup Management","Distributed","Distributed","Storage","Backup And Archive Software","Storage Recovery Management"
"AntiVirus",17,"ETRAVE8001CU7665BWE8113","Unassigned","Unassigned","Threat Management","Distributed","Distributed","Security","Secure Content Management","Threat Management"
"ARCserve Backup",18,"BAB5192IBWU5458","Unassigned","Unassigned","Backup Management","Distributed","Distributed","Storage","Backup And Archive Software","Storage Recovery Management"
"Librarian",19,"LI11392BR2041","LIBRARIAN","LIBRARIAN (BP)","Unassigned","Mainframe","MVS","Life-Cycle","Software Configuration Management","Products - MF Misc"
